1892,Grover Cleveland,Adlai E. Stevenson
1896,William McKinley,Garret A. Hobart
1900,William McKinley,Theodore Roosevelt
1904,Theodore Roosevelt,Charles W. Fairbanks
1908,William H. Taft, William J. Bryan
1912,Woodrow Wilson,Thomas R. Marshall
1916,Woodrow Wilson,Thomas R. Marshall
1920, Warren G Harding, Calvin Coolidge
1924,Calvin Coolidge,Charles G. Dawes
1928,Herbert Hoover,Charles Curtis
1932,Franklin D. Roosevelt,John N. Garner
1936,Franklin D. Roosevelt,John N. Garner
1940,Franklin D. Roosevelt,Henry A. Wallace
1944,Franklin D. Roosevelt,Harry S. Truman
1948,Harry S. Truman, Alben W. Barkley
1952,Dwight D. Eisenhower,Richard M. Nixon
1956,Dwight D. Eisenhower,Richard M. Nixon
1960,John F. Kennedy,Lyndon B. Johnson
1964,Lyndon B. Johnson,Hubert H. Humphrey,A
1968,Richard M. Nixon,Spiro T. Agnew
1972,Richard M. Nixon,Gerald R. Ford
1976,Jimmy Carter,Walter F. Mondale
1980,Ronald Reagan,George Bush
1984,Ronald Reagan,George Bush
1988,George Bush,Dan Quayle
1992,Bill Clinton,Albert Gore
1996,Bill Clinton,Albert Gore
2000,George W. Bush,Richard Cheney
2004,George W. Bush,Richard Cheney
2008,Barack Obama,Joseph R. Biden
2012,Barack Obama,Joseph R. Biden
2016,Donald J. Trump,Mike Pence
2020,Joseph R. Biden,Kamala Harris
