United States,444,447,447,476,483,531,531,531,531,531,531,531,531,531,531,531,531,537,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538
Alabama,11,11,11,11,11,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Arizona,0,0,0,0,0,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,6,6,6,7,7,8,8,8,10,10,11,11,11
Arkansas,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
California,9,9,9,10,10,13,13,13,13,13,22,22,22,25,25,32,32,32,40,40,45,45,45,47,47,54,54,54,55,55,55,55,55
Colorado,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,8,8,9,9,9,9,9
Connecticut,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Delaware,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Florida,4,4,4,5,5,6,6,6,6,6,7,7,7,8,8,10,10,10,14,14,17,17,17,21,21,25,25,25,27,27,29,29,29
Georgia,13,13,13,13,13,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,15,15,16,16,16
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Idaho,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Illinois,24,24,24,27,27,29,29,29,29,29,29,29,29,28,28,27,27,27,26,26,26,26,26,24,24,22,22,22,21,21,20,20,20
Indiana,15,15,15,15,15,15,15,15,15,15,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11
Iowa,13,13,13,13,13,13,13,13,13,13,11,11,11,10,10,10,10,10,9,9,8,8,8,8,8,7,7,7,7,7,6,6,6
Kansas,10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6
Kentucky,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8
Louisiana,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8
Maine,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Maryland,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Massachusetts,15,15,15,16,16,18,18,18,18,18,17,17,17,16,16,16,16,16,14,14,14,14,14,13,13,12,12,12,12,12,11,11,11
Michigan,14,14,14,14,14,15,15,15,15,15,19,19,19,19,19,20,20,20,21,21,21,21,21,20,20,18,18,18,17,17,16,16,16
Minnesota,9,9,9,11,11,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mississippi,9,9,9,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
Missouri,17,17,17,18,18,18,18,18,18,18,15,15,15,15,15,13,13,13,12,12,12,12,12,11,11,11,11,11,11,11,10,10,10
Montana,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
Nebraska,8,8,8,8,8,8,8,8,8,8,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Nevada,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,6,6,6
New Hampshire,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
New Jersey,10,10,10,12,12,14,14,14,14,14,16,16,16,16,16,16,16,16,17,17,17,17,17,16,16,15,15,15,15,15,14,14,14
New Mexico,0,0,0,0,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
New York,36,36,36,39,39,45,45,45,45,45,47,47,47,47,47,45,45,45,43,43,41,41,41,36,36,33,33,33,31,31,29,29,29
North Carolina,11,11,11,12,12,12,12,12,12,12,13,13,13,14,14,14,14,14,13,13,13,13,13,13,13,14,14,14,15,15,15,15,15
North Dakota,3,3,3,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
Ohio,23,23,23,23,23,24,24,24,24,24,26,26,26,25,25,25,25,25,26,26,25,25,25,23,23,21,21,21,20,20,18,18,18
Oklahoma,0,0,0,0,7,10,10,10,10,10,11,11,11,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7
Oregon,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
Pennsylvania,32,32,32,34,34,38,38,38,38,38,36,36,36,35,35,32,32,32,29,29,27,27,27,25,25,23,23,23,21,21,20,20,20
Rhode Island,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
South Carolina,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9
South Dakota,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
Tennessee,12,12,12,12,12,12,12,12,12,12,11,11,11,12,12,11,11,11,11,11,10,10,10,11,11,11,11,11,11,11,11,11,11
Texas,15,15,15,18,18,20,20,20,20,20,23,23,23,23,23,24,24,24,25,25,26,26,26,29,29,32,32,32,34,34,38,38,38
Utah,0,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6
Vermont,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Virginia,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13
Washington,4,4,4,5,5,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12
West Virginia,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5
Wisconsin,12,12,12,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10
Wyoming,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
